poř. číslo;příjmení, jméno, tituly;věk;Navrhující strana;Politická příslušnost;Povolání;Bydliště
50;Škrabal Vít;51;VOK;BEZPP;Elektromechanik;Most
51;Hanzl Milan;37;VOK;BEZPP;Řidič;Děčín
52;Hejduk Václav Petr;18;VOK;BEZPP;Student;Ústí nad Labem
53;Marini Michaela;49;VOK;BEZPP;Pedagog v dětském domově;Rumburk
54;Husák Petr;70;VOK;BEZPP;Důchodce;Chomutov
55;Rubešová Drahuše;73;VOK;BEZPP;Důchodkyně;Ústí nad Labem
56;Šrotýř Ondřej;36;VOK;BEZPP;OSVČ;Meziboří
57;Kytl Jaroslav;56;VOK;BEZPP;Řidič;Mašťov
58;Hendrychová Kristýna;23;VOK;BEZPP;Studentka VŠ sociální pedagogika;Mikulášovice
59;Ondrejkovič Jan;39;VOK;BEZPP;OSVČ;Ústí nad Labem
60;Hanušová Martina;35;VOK;BEZPP;Specialistka - datové kabely;Krásná Lípa
1;Kulhánek Jiří PaedDr.;58;ODS;ODS;starosta města Kadaň;Kadaň
2;Dvořáková Iva Mgr. LL.M.;44;ODS;ODS;advokátka, radní města Teplice;Teplice
3;Rieger Tomáš Mgr. Bc.;46;ODS;ODS;tiskový mluvčí Památníku Terezín, překladatel;Chabařovice
4;Karasová Drahomíra;67;ODS;ODS;předsedkyně kontrol. výboru ZÚK, bývalá starostka;Obrnice
5;Růžička Jan Ing.;31;ODS;KDU-ČSL;obchodní ředitel, krajský předseda KDU-ČSL;Krupka
6;Vachková Zdenka Mgr.;41;ODS;ODS;učitelka na gymnáziu, zastupitelka města;Roudnice nad Labem
7;Pimpara Jiří;60;ODS;ODS;místostarosta města Rumburk;Rumburk
8;Kutner Zdeněk;60;ODS;ODS;starosta obce Domoušice;Domoušice
9;Kalous Jiří Ing.;44;ODS;ODS;specialista dispečinku VN, NN;Jílové
10;Gavdunová Jitka;65;ODS;ODS;starostka města Vejprty;Vejprty
11;Kollmann Marcel Ing.;49;ODS;ODS;ředitel společnosti;Žatec
