poř. číslo;příjmení, jméno, tituly;věk;Navrhující strana;Politická příslušnost;Povolání;Bydliště
8;Červenka Miroslav Mgr.;64;Trikolóra;Trikolóra;podnikatel a bloger;Děčín
9;John Jindřich;55;Trikolóra;Trikolóra;starosta Lužic, technik;Lužice
10;Michálek Ladislav;40;Trikolóra;Trikolóra;key account manager, sommelier;Litoměřice
11;Závladský Michal;40;Trikolóra;Trikolóra;majitel kamenické firmy;Dubí
12;Říha Zdeněk doc. Ing. Ph.D.;46;Trikolóra;Trikolóra;vysokoškolský učitel;Děčín
13;Kunz Tomáš Ing.;38;Trikolóra;Trikolóra;ekonom a interní auditor;Ústí nad Labem
14;Gremlica Oldřich;45;Trikolóra;Trikolóra;softw. vývojář,srdcem křesťan a zástupce pastora;Most
15;Macák Patrik;26;Trikolóra;Trikolóra;učitel a fitness trenér;Jirkov
16;Slánička Roman;50;Trikolóra;Trikolóra;provozní chemik;Bílina
17;Poráč Jaroslav;48;Trikolóra;Trikolóra;technik;Třebívlice
18;Kostka Petr;55;Trikolóra;Trikolóra;jednatel společnosti;Děčín
19;Čáka Jan;42;Trikolóra;Trikolóra;zastupitel města Louny, provozovatel klinik;Louny
20;Jonáková Alena Ing.;36;Trikolóra;Trikolóra;učitelka ekonomie na SŠ;Ústí nad Labem
21;Brožek Vladimír;61;Trikolóra;Trikolóra;podnikatel ve stavebnictví;Most
22;Stehlík Lukáš;36;Trikolóra;Trikolóra;podnikatel maloobchod;Klášterec nad Ohří
23;Ptáček Jaroslav;50;Trikolóra;Trikolóra;podnikatel - developer;Háj u Duchcova
24;Pokorný Jiří;55;Trikolóra;Trikolóra;podnikatel;Roudnice nad Labem
25;Kotulič Petr Ing. Bc.;58;Trikolóra;Trikolóra;ředitel Vyšší odborná škola,SPŠ služeb a cest.ruch;Jiříkov
26;Ježek Pavel Ing.;46;Trikolóra;Trikolóra;obchodní manažer pro zemědělskou techniku;Postoloprty
27;Jorová Eva Bc.;30;Trikolóra;Trikolóra;úřednice ČTÚ a specialistka pro sociální práci;Ústí nad Labem
28;Rambousek Eugene Bc.;32;Trikolóra;Trikolóra;podnikatel, fyzioterapeut;Most
29;Pavlovský Vít;21;Trikolóra;Trikolóra;výkonný ředitel společnosti;Jirkov
30;Hvolka Martin;45;Trikolóra;Trikolóra;ředitel exportu - G & G Filtrace s.r.o.;Teplice
31;Hruška František Ing.;62;Trikolóra;Trikolóra;geodet, spolumajitel geodetické firmy, nyní v ID;Litoměřice
32;Schwarzbach Jan Bc.;29;Trikolóra;Trikolóra;oblastní ředitel bankovní společnosti;Děčín
33;Hodanová Blanka Ing. Mgr.;45;Trikolóra;Trikolóra;učitelka ZŠ;Žatec
34;Röhrlová Romana Ing.;55;Trikolóra;Trikolóra;zastupitelka obce Chlumec, správkyně obecního maj.;Chlumec
35;Novotný Jiří;46;Trikolóra;Trikolóra;ekonom, referent;Most
36;Pivko Jan Bc.;41;Trikolóra;Trikolóra;podnikatel;Žitenice
37;Dragoun Michal;21;Trikolóra;Trikolóra;student VŠCHT Praha;Teplice
38;Šifalda Miroslav;21;Trikolóra;Trikolóra;student Právnické fakulty UK;Račiněves
39;Beránek Jaroslav Ing. DiS.;35;Trikolóra;Trikolóra;stavbyvedoucí;Děčín
40;Harbich Eduard;44;Trikolóra;Trikolóra;živnostník, IT specialista;Žatec
41;Wiesner Tomáš Mgr.;54;Trikolóra;Trikolóra;ředitel Muzea Litoměřice;Ústí nad Labem
42;Fraško Martin;50;Trikolóra;Trikolóra;podnikatel, IT specialista;Most
43;Hýsek Martin;47;Trikolóra;Trikolóra;jednatel ve společnosti MARHYS - IT, s.r.o.;Chomutov
44;Tuhý Jan;56;Trikolóra;Trikolóra;invalidní důchodce;Teplice
45;Novák Milan;37;Trikolóra;Trikolóra;OSVČ;Štětí
46;Komůrka Petr;59;Trikolóra;Trikolóra;zaměstnanec bezpečnostní agentury;Jílové
47;Kolárová Olga;47;Trikolóra;Trikolóra;ekonomka;Bitozeves
48;Kaplan Martin;51;Trikolóra;Trikolóra;podnikatel, elektrikář, velký mostecký patriot;Most
49;Tripal Oldřich;47;Trikolóra;Trikolóra;učitel odborného výcviku;Chomutov
50;Vlasatá Jiřina;54;Trikolóra;Trikolóra;žena v domácnosti;Teplice
51;Votočková Andrea;33;Trikolóra;Trikolóra;účetní;Štětí
52;Plhal Jan;43;Trikolóra;Trikolóra;manažer logistiky;Děčín
53;Pešek Zdeněk Ing. Mgr. MBA;61;Trikolóra;Trikolóra;ředitel SOU obchodu a služeb, boxer;Teplice
54;Stárek Martin;37;Trikolóra;Trikolóra;nákupčí;Děčín
55;Mostecká Blanka;62;Trikolóra;Trikolóra;celní deklarantka;Žatec
56;Sedlecká Šárka;46;Trikolóra;Trikolóra;referent obecního úřadu;Most
57;Bareš Martin;52;Trikolóra;Trikolóra;vedoucí výroby;Meziboří
58;Bělka Jan;52;Trikolóra;Trikolóra;pracovník v IT, hudebník;Ústí nad Labem
1;Dittrich Pavel;44;Svobodní;Svobodní;OSVČ;Libochovice
2;Klíma Libor;49;Svobodní;Svobodní;Mistr výroby, OSVČ;Most
3;Vacková Pavla;55;Svobodní;Svobodní;Vydavatelka měsíčníku Z principu;Děčín
4;Bradáč Marek;44;Svobodní;Svobodní;Dělník;Chomutov
5;Pilc Jindřich;44;Svobodní;Svobodní;OSVČ;Čížkovice
6;Gregor Vladimír Ing.;62;Svobodní;Svobodní;Ekonom;Děčín
7;Franc Tomáš;52;Svobodní;Svobodní;Specialista expedice;Meziboří
8;Soukup Robert;47;Svobodní;Svobodní;Řidič;Bílina
9;Listopad Karel;33;Svobodní;Svobodní;OSVČ;Lom
10;Morong Jiří;19;Svobodní;Svobodní;Student;Meziboří
11;Kozel Bohumil;72;Svobodní;Svobodní;Důchodce;Roudnice nad Labem
12;Nováková Tichá Judita;58;Svobodní;Svobodní;Pečující;Meziboří
13;Brejška Rudolf Ing. DiS.;35;Svobodní;BEZPP;Stavební projektant, zastupitel města;Děčín
14;Duchan Pavel Ing.;63;Svobodní;BEZPP;Technik, zastupitel města;Jirkov
15;Slabyhoud Pavel Ing.;52;Svobodní;BEZPP;Projektant;Chomutov
16;Bernášek Petr;37;Svobodní;BEZPP;Ošetřovatel;Dobrná
17;Dvořák Josef Ing. Ph.D.;37;Svobodní;BEZPP;VŠ učitel, patentový a známkový zástupce;Bílina
18;Volešáková Kateřina Bc.;37;Svobodní;BEZPP;Zdravotní sestra, MD;Děčín
19;Rudý Petr Boris;38;Svobodní;BEZPP;OSVČ;Ústí nad Labem
20;Červená Lenka;58;Svobodní;BEZPP;Asistent prevence kriminality MP;Litvínov
21;Šustr Jan Bc.;51;Svobodní;BEZPP;Učitel, zastupitel města;Jirkov
22;Burianová Kamila BcA.;33;Svobodní;BEZPP;OSVČ, 2D animátor;Chomutov
23;Bednář Petr;49;Svobodní;BEZPP;Kapitán vnitrozemské plavby;Děčín
24;Hrzánová Jitka DiS.;41;Svobodní;BEZPP;Sociální pracovnice;Libochovice
25;Jelínek Leoš;51;Svobodní;BEZPP;OSVČ;Jetřichovice
26;Hendrych Daniel;46;Svobodní;BEZPP;Jednatel společnosti, zastupitel města;Bílina
27;Majeriková Jaroslava;37;Svobodní;BEZPP;Účetní;Děčín
28;Hermannová Miroslava;49;Svobodní;BEZPP;Zdravotní sestra;Jetřichovice
29;Konvičková Martina;29;Svobodní;BEZPP;Operátorka stroje;Teplice
30;Švarc Petr;56;Svobodní;BEZPP;Autoklempíř;Děčín
31;Lepková Martina;49;Svobodní;BEZPP;Recepční;Děčín
32;Hermannová Michaela;29;Svobodní;BEZPP;Obchodní specialistka, MD;Děčín
33;Fišák David;44;Svobodní;BEZPP;Strojník;Malé Březno
34;Flemmerová Zdeňka;50;Svobodní;BEZPP;Kadeřnice;Děčín
35;Fiřtová Lenka;46;Svobodní;BEZPP;Sanitářka;Jetřichovice
36;Ludvik Petr;50;Svobodní;BEZPP;Lodník;Děčín
37;Simonidesová Eva;52;Svobodní;BEZPP;OSVČ;Děčín
38;Vatala Antonín;61;Svobodní;BEZPP;Invalidní důchodce;Děčín
39;Chlumová Monika;47;Svobodní;BEZPP;Merčík;Děčín
40;Macas Jiří;52;Svobodní;BEZPP;Akvizitor;Děčín
41;Bělina Karel;73;Svobodní;BEZPP;Důchodce, stavitel ferrát;Povrly
42;Suchánek Horst;56;Svobodní;BEZPP;Kapitán v lodní dopravě;Děčín
43;Hrdlička Tomáš;25;Svobodní;BEZPP;Student;Libochovice
44;Čermák Luboš;52;Svobodní;BEZPP;Kuchař;Děčín
45;Bělinová Miloslava;68;Svobodní;BEZPP;Důchodkyně;Povrly
46;Halada Josef;41;Svobodní;BEZPP;Servisní technik;Slatina
47;Fejfarová Milena;60;Svobodní;BEZPP;Instrumentářka;Děčín
1;Padělek František Ing.;68;ZaRegion;BEZPP;Starosta města, bývalý velitel vzdušných sil AČR;Roudnice nad Labem
2;Ječmenová Lucie Ing.;38;ZaRegion;ZaRegion;Ředitelka MAS SERVISO;Bílina
3;Grund Pavel Ing. MBA;53;ZaRegion;BEZPP;Ředitel OI ČIŽP Ústí nad Labem;Litoměřice
4;Stehlík Stanislav Ing.;60;ZaRegion;BEZPP;Ředitel odboru ČSSZ, bývalý místostarosta;Klášterec nad Ohří
5;Brunclík Štefan MUDr. MBA;60;ZaRegion;BEZPP;Lékař, bývalý ředitel Ústř.vojenské nemocnice;Litoměřice
6;Hamplová Eva Ing.;57;ZaRegion;BEZPP;Ředitelka MAS Český Sever;Varnsdorf
7;Salcmanová Jana;40;ZaRegion;BEZPP;Starostka obce Vědomice;Vědomice
8;Pěkný Jakub Ing.;34;ZaRegion;BEZPP;Profesionální hasič;Moldava
9;Hajná Eva Ing.;53;ZaRegion;ANO;Starostka města Třebenice;Třebenice
10;Vodička Václav;21;ZaRegion;BEZPP;Student;Bílina
11;Bovšková Nová Jitka Ing.;44;ZaRegion;BEZPP;Starostka obce Měrunice;Měrunice
12;Čížek Jiří Bc.;44;ZaRegion;BEZPP;Starosta městyse Panenský Týnec;Panenský Týnec
13;Bažantová Barbora Ing.;42;ZaRegion;BEZPP;Starostka obce Světec;Světec
14;Matoušková Meisnerová Eva Ing.;48;ZaRegion;BEZPP;Starostka obce Dušníky;Dušníky
15;Samuel Jiří Bc.;44;ZaRegion;BEZPP;Policista, místostarosta obce Výškov;Výškov
16;Hamrová Ladislava Ing.;57;ZaRegion;BEZPP;Ředitelka MAS CÍNOVECKO;Novosedlice
17;Čtrnáctá Eva;40;ZaRegion;BEZPP;Starostka obce Dolánky nad Ohří;Dolánky nad Ohří
18;Benda Daniel;45;ZaRegion;BEZPP;Podnikatel, místostarosta;Bžany
19;Smetanová Jaroslava;56;ZaRegion;BEZPP;Starostka obce Vražkov;Vražkov
20;Kudrna Libor Mgr. DiS.;39;ZaRegion;BEZPP;Projektový manažer;Most
21;Kačenková Olga MUDr.;67;ZaRegion;BEZPP;Lékař zdravotnické záchranné služby;Roudnice nad Labem
22;Pipišková Irena;59;ZaRegion;BEZPP;Starostka obce Háj u Duchcova;Háj u Duchcova
23;Hrouda Jan Ing.;37;ZaRegion;BEZPP;IT správce;Roudnice nad Labem
24;Pelcman Karel;22;ZaRegion;BEZPP;Student;Most
25;Kolorosová Klára;38;ZaRegion;BEZPP;Projektová manažerka;Vědomice
26;Hakl Tomáš;21;ZaRegion;BEZPP;Team leader;Kadaň
27;Bartoš Radek MUDr.;52;ZaRegion;BEZPP;Lékař;Modlany
28;Hanzal Michal Bc.;23;ZaRegion;BEZPP;Student;Třebenice
29;Suchý Miroslav;70;ZaRegion;BEZPP;Emeritní starosta;Dolní Zálezly
30;Skalický Jiří Ing.;62;ZaRegion;BEZPP;OSVČ, zemědělec;Velemín
31;Ryšavý Josef Ing.;38;ZaRegion;BEZPP;Ředitel MAS Vladař, místostarosta;Račetice
32;Borovičková Eliška;34;ZaRegion;BEZPP;Sanitářka;Roudnice nad Labem
33;Glabazňová Lenka;48;ZaRegion;HNHRM;Koordinátor projektu, manažerka společnosti;Bílina
34;Jakubec Zdeněk;56;ZaRegion;BEZPP;OSVČ;Chabařovice
35;Zavadilová Lenka;50;ZaRegion;BEZPP;Manager;Klášterec nad Ohří
36;Tietl Ondřej Mgr.;30;ZaRegion;BEZPP;Makléř pojišťovací;Teplice
37;Kuncl Pavel;41;ZaRegion;ZaRegion;OSVČ;Lkáň
38;Šenfeldrová Martina Mgr.;32;ZaRegion;BEZPP;Učitelka ZŠ;Libochovice
39;Václavovič Ondřej Ing.;56;ZaRegion;BEZPP;Supervizor - sociální služby;Mikulášovice
40;Koutek Josef;43;ZaRegion;BEZPP;Hasič;Bžany
41;Chvátalová Věra;64;ZaRegion;BEZPP;Sekretář tělovýchovné jednoty;Teplice
42;Pokorný Tomáš;34;ZaRegion;BEZPP;Zastupitel města Roudnice nad Labem, OSVČ;Roudnice nad Labem
43;Tůma Petr Ing.;52;ZaRegion;BEZPP;Manažer;Modlany
44;Strouhal Lukáš Bc.;43;ZaRegion;BEZPP;Ředitel provozu;Mariánské Radčice
45;Harant Tomáš;25;ZaRegion;BEZPP;Manažer MAS NADĚJE o. p. s.;Most
46;Carlos Mendesová Petra;41;ZaRegion;BEZPP;Zemědělec;Libčeves
47;Zahnová Ivana;44;ZaRegion;BEZPP;Zdravotní sestra;Krupka
48;Klečka Josef;60;ZaRegion;BEZPP;OSVČ;Krabčice
49;Krš Veselá Věra;42;ZaRegion;BEZPP;Zaměstnanec Josef Klečka ANTINARI;Židovice
50;Skalička Marek;40;ZaRegion;BEZPP;Bývalý vojenský policista, místostarosta obce;Hlinná
51;Quirsfeld Tomáš;36;ZaRegion;BEZPP;Hasič - HZS ČR;Bohušovice nad Ohří
52;Zbránek Jakub;38;ZaRegion;BEZPP;Obchodní poradce ČMSS;Litoměřice
53;Vincenc Tomáš;49;ZaRegion;BEZPP;Technik;Krupka
54;Hamr Jiří Bc.;24;ZaRegion;BEZPP;Datový analytik;Novosedlice
55;Urban Vladimír;71;ZaRegion;BEZPP;Bývalý starosta, nyní zastupitel a radní města;Roudnice nad Labem
56;Nozar Karel;51;ZaRegion;BEZPP;Řidič z povolání;Most
57;Šuran Jiří;46;ZaRegion;BEZPP;Technik;Žatec
58;Šebestová Ivona;36;ZaRegion;BEZPP;Obchodní asistentka, instruktorka Zumby;Hlinná
59;Sudek Tomáš;24;ZaRegion;BEZPP;Řidič;Břvany
60;Halaš Jiří;48;ZaRegion;BEZPP;Zámečník;Most
1;Řehák Jiří Mgr.;52;JsmePRO!;JsmePRO!;středoškolský učitel, regionální historik;Teplice
2;Žákovská Karolína JUDr. Ph.D.;44;Zelení;Zelení;právnička, vysokoškolská pedagožka,zastup.města;Ústí nad Labem
3;Kučera Michal Ing.;51;TOP 09;TOP 09;báňský inženýr, ekonom a radní města;Louny
4;Medáček Petr Ing. CSc., MBA;62;SNK ED;SNK ED;vědecký pracovník, starosta města;Budyně nad Ohří
5;Pastyřík Pavel MSc., MBA;50;TOP 09;TOP 09;ředitel strojírenské firmy, radní města;Bílina
6;Globočník Petr Bc.;37;Zelení;Zelení;sociální pracovník,místopředseda SK Bivoj Litvínov;Litvínov
7;Zimová Dostálová Šárka;47;JsmePRO!;JsmePRO!;ředitelka Slunečnice z.s.;Děčín
8;Vlach Michal Mgr.;48;TOP 09;TOP 09;ředitel školy, zastupitel města;Chomutov
9;Simerská Lenka PhDr.;44;Zelení;Zelení;socioložka, expertka na trh práce a odměňování;Litoměřice
10;Outlá Eva Ing.;62;JsmePRO!;BEZPP;ekonomka, místopředsedkyně SVJ, zastupitelka města;Ústí nad Labem
11;Kusebauch Josef Mgr.;56;SNK ED;SNK ED;učitel, ředitel základní školy a starosta města;Chabařovice
12;Bystroň Marian MUDr.;49;JsmePRO!;BEZPP;lékař kardiolog, zastupitel města;Chomutov
13;Kodytek David Mgr.;50;Zelení;Zelení;středoškolský učitel, místostarosta města;Klášterec nad Ohří
14;Červený Richard Ing.;36;TOP 09;TOP 09;ředitel střední školy, zastupitel města;Roudnice nad Labem
15;Skála Pavel BcA.;34;JsmePRO!;JsmePRO!;pedagog, ředitel Divadelního klubu Školka;Most
16;Šebek Jaroslav Mgr. Ing.;46;SNK ED;SNK ED;soukromý zemědělec, předseda Asociace soukr.zem.;Kyškovice
17;Lacková Kateřina MUDr.;50;Zelení;Zelení;rehabilitační lékařka;Most
18;Lněníček Martin;42;LES;LES;divadelní technik, sedlák z Nepomyšle,dobr.hasič;Nepomyšl
19;Bačová Miloslava Mgr.;66;JsmePRO!;BEZPP;středoškolská učitelka, předsed. Zdraví pro Krupku;Krupka
20;Souček Adam;44;Zelení;Zelení;koordinátor zdravotnických projektů, místopředseda;Teplice
21;Švec Ondřej DiS.;42;SNK ED;BEZPP;starosta obce;Straškov-Vodochody
22;Žídek Jakub;38;TOP 09;TOP 09;software developer, místostarosta spolku Společně;Ústí nad Labem
23;Rabasová Houfová Iveta;46;JsmePRO!;BEZPP;starostka obce;Blatno
24;Holienčinová Alena Ing.;42;Zelení;Zelení;krajinný ekolog a pedagog;Domoušice
25;Nádvorník Vojtěch Ing.;41;TOP 09;TOP 09;IT konzultant, programátor, spolumajitel firmy;Děčín
26;Baier Radovan Ing.;42;SNK ED;BEZPP;soudní znalec v oboru životního prostředí;Teplice
27;Němeček Jiří Ing. arch.;39;JsmePRO!;BEZPP;projektový manažer, zastupitel města;Ústí nad Labem
28;Žalud Jan;42;Zelení;Zelení;IT analytik, správce rozhledny, zastupitel města;Louny
29;Drahozal Jan Ing. arch.;44;TOP 09;TOP 09;architekt, zastupitel města;Roudnice nad Labem
30;Löblová Andrea Mgr.;44;JsmePRO!;BEZPP;kurátorka, OSVČ, zastupitelka města;Chomutov
31;Kracmanová Hana;44;SNK ED;BEZPP;projektová manažerka MAS Český Sever z.s.;Česká Kamenice
32;Kraus Jiří;45;Zelení;BEZPP;herec, farmář, zastupitel města;Most
33;Jirušková Jana;52;TOP 09;TOP 09;manažer obchodní skupiny pojišťovacích poradců;Teplice
34;Pláničková Eliška;38;JsmePRO!;BEZPP;místostarostka obce, dula;Libochovany
35;Cuc Michal Ing.;42;Zelení;Zelení;strojvedoucí, předseda Spolku lokálních drah;Moldava
36;Sadovská Jitka;66;SNK ED;BEZPP;starostka obce;Bečov
37;Novotný Jan Ing. DiS.;41;TOP 09;TOP 09;manažer kontroly a bezpečnosti,zastupitel města;Žatec
38;Hanousková Lenka Ing.;31;JsmePRO!;BEZPP;klinický biochemik;Osek
39;Kutina Vášová Renata Mgr.;42;Zelení;Zelení;fundraiserka Hospic Sv.Štěpána, čl.kulturní komise;Litoměřice
40;Rödling Jan Mgr.;38;TOP 09;TOP 09;novinář, zastupitel města;Chomutov
41;Chládková Jitka;61;SNK ED;BEZPP;zdravotní sestra, učitelka tance;Chabařovice
42;Krsek Martin Mgr.;46;JsmePRO!;BEZPP;historik, publicista;Ústí nad Labem
43;Prošek Luděk MgA.;42;Zelení;Zelení;středoškolský učitel, zastupitel města;Most
44;Jirásek Petr RNDr.;64;TOP 09;TOP 09;vysokoškolský učitel, zastupitel města;Chlumec
45;Imbrová Marie PhDr.;60;JsmePRO!;BEZPP;afrikanistka, zakladatelka Klubu přátel Tengenenge;Peruc
46;Kébrt Lukáš Mgr.;34;SNK ED;BEZPP;velitel požární stanice Litoměřice;Křešice
47;Škoda Jiří;40;Zelení;Zelení;šéfredaktor, předseda spolku Krásné sousedění;Ústí nad Labem
48;Machala Zdeněk Ing. Ph.D.;58;TOP 09;BEZPP;manažer ve strojírenství;Děčín
49;Rücknágelová Jindra;64;JsmePRO!;JsmePRO!;starobní důchodkyně, účetní;Blažim
50;Moudrá Wünschová Irena MUDr.;62;Zelení;Zelení;lékařka paliativního týmu onkologie;Ústí nad Labem
51;Pavlát Dalibor;51;SNK ED;BEZPP;starosta obce;Povrly
52;Janda Pavel Mgr.;35;TOP 09;TOP 09;advokát, starosta města;Louny
53;Šlemr Václav;48;SNK ED;BEZPP;podnikatel v autodopravě;Česká Kamenice
54;Buřt Vladimír Ing.;56;Zelení;Zelení;starosta, stavební technik;Horní Jiřetín
55;Steiner Leo Mgr.;49;JsmePRO!;BEZPP;živnostník, úředník, učitel, zmocněnec aktivity;Smolnice
56;Slámová Lenka Mgr.;34;Zelení;Zelení;knihovnice, překladatelka;Dolní Zálezly
57;Panaš Petr Mgr.;51;Zelení;Zelení;vedoucí odboru MěÚ, zastupitel města;Litoměřice
1;Freimann Eugen Sigismund PhDr. ThDr. Mgr. Ph.D., M.A.;59;Rozumní;BEZPP;vysokoškolský pedagog, vydavatel Teplický kurýr;Teplice
2;Kotyzová Petra Mgr.;55;Rozumní;BEZPP;OSVČ;Chomutov
3;Kandel František MUDr.;65;Rozumní;BEZPP;lékař, gynekolog - porodní konzultant;Kadaň
4;Vlašimský Petr;26;Rozumní;BEZPP;kontrolor kvality;Horní Jiřetín
5;Kindermannová Marie PaedDr.;72;Rozumní;BEZPP;speciální pedagog;Všehrdy
6;Fišer Petr;60;Rozumní;Rozumní;vedoucí kulturního zařízení města Krupka;Krupka
7;Zikánová Veronika;26;Rozumní;BEZPP;úřednice;Most
8;Svoboda Pavel;77;Rozumní;BEZPP;předseda vlasteneckého spolku Mistr Jan Hus;Teplice
9;Patrovská Lenka;34;Rozumní;BEZPP;živnostník;Louny
10;Habr Lukáš;39;Rozumní;BEZPP;OSVČ, živnostník;Roudnice nad Labem
11;Ondrušová Iveta;53;Rozumní;BEZPP;manažerka;Vrbice
12;Jura Vlastimil;64;Rozumní;BEZPP;předseda spolku Mladí chovatelé zvířat;Mikulášovice
13;Fryč Zbyněk;23;Rozumní;BEZPP;automechanik;Ústí nad Labem
14;Dornbach Valentová Lenka;36;Rozumní;BEZPP;asistentka prodeje;Děčín
15;Smolová Alena;56;Rozumní;BEZPP;prodavačka;Litoměřice
16;Kudrna Jiří;41;Rozumní;BEZPP;kamerový technik;Třebušín
17;Závětová Alena;46;Rozumní;BEZPP;obsluha čerpací stanice;Litvínov
18;Rous Martin;38;Rozumní;BEZPP;OSVČ, finanční a realitní poradce;Roudnice nad Labem
19;Hangan Kotyzová Petra Mgr.;35;Rozumní;BEZPP;právník;Chomutov
20;Přichystal Ivo RSDr.;66;Rozumní;BEZPP;vysokoškolský pedagog ve výslužbě;Novosedlice
21;Tranová Diana;24;Rozumní;BEZPP;konstuktérka ve strojírenství;Jiříkov
22;Viktora Pavel;42;Rozumní;BEZPP;OSVČ;Žatec
23;Vindyšová Veronika;28;Rozumní;BEZPP;pečovatelka;Rumburk
24;Poláková Beáta;30;Rozumní;BEZPP;mateřská dovolená;Varnsdorf
25;Devátá Markéta;31;Rozumní;BEZPP;asistentka jednatele společnosti;Šluknov
26;Doubravský Petr;47;Rozumní;BEZPP;živnostník;Teplice
27;Hensch František;54;Rozumní;Rozumní;hostinský;Křešice
28;Brabcová Adéla;24;Rozumní;BEZPP;školitelka nových zaměstnanců;Chabařovice
29;Kukura Ján;84;Rozumní;BEZPP;kapitán dálkové plavby ve výslužbě;Ústí nad Labem
30;Nusková Laura;20;Rozumní;BEZPP;studující VŠ;Chřibská
31;Ešlerová Tereza;26;Rozumní;BEZPP;umělecká fotografka;Most
32;Šantora Daniel;25;Rozumní;BEZPP;operátor;Most
33;Doušová Lenka;44;Rozumní;BEZPP;OSVČ;Dušníky
34;Koutníková Lenka;32;Rozumní;BEZPP;mistr výroby;Most
35;Kassasová Sára;20;Rozumní;BEZPP;studující VŠ;Česká Kamenice
36;Pisch Ondřej;74;Rozumní;BEZPP;výtvarný grafik;Teplice
37;Dvořáková Erika;41;Rozumní;BEZPP;kvalitářka;Lovosice
38;Kadeřábek Miroslav;56;Rozumní;BEZPP;pečovatel;Teplice
39;Smítka Marian;55;Rozumní;BEZPP;nezaměstnaný;Horní Jiřetín
40;Pecová Vlaďka;53;Rozumní;BEZPP;pracovník sociálních služeb;Most
41;Čechová Lucie;23;Rozumní;BEZPP;pečovatelka;Rumburk
42;Bžoch Jaroslav;85;Rozumní;BEZPP;důchodce;Teplice
43;Beranová Michaela;19;Rozumní;BEZPP;studující;Varnsdorf
44;Daňková Veronika;41;Rozumní;BEZPP;zástupce vedoucího;Děčín
45;Zadinová Lucie;33;Rozumní;BEZPP;pracovnice v sociálních službách;Šluknov
46;Slivková Nella;23;Rozumní;BEZPP;servírka;Teplice
47;Turner Oldřich;82;Rozumní;BEZPP;důchodce;Ústí nad Labem
48;Kernerová Kamila;21;Rozumní;BEZPP;studující;Ústí nad Labem
49;Čermáková Jaroslava;63;Rozumní;BEZPP;důchodkyně;Varnsdorf
50;Laksarová Jitka;43;Rozumní;BEZPP;pečovatelka;Šluknov
51;Drdúlová Jaroslava;82;Rozumní;BEZPP;důchodkyně;Jiřetín pod Jedlovou
52;Svobodová Hana;54;Rozumní;BEZPP;prodejce;Rumburk
53;Dietlová Marie;51;Rozumní;BEZPP;uklízečka;Teplice
54;Hrubý Ivan;74;Rozumní;BEZPP;důchodce;Teplice
55;Dietl Jan;44;Rozumní;BEZPP;invalidní důchodce, opravář elektro;Teplice
